hour;Q5;Q10;Q25;Q50;Q75;Q90;Q95;mean
00:00;0.1095;0.136;0.205;0.5465;2.4379999999999997;3.982599999999999;4.907224999999999;1.5874369505749506
01:00;0.111;0.137;0.21200000000000002;0.9085000000000001;2.503;3.9626;4.840349999999999;1.5928303679142921
02:00;0.106;0.133;0.2;0.4605;2.379125;3.5235;4.647050000000003;1.430750760922221
03:00;0.113;0.144;0.2135;1.3795;2.473;3.767;4.8125;1.6297188294955225
04:00;0.1085;0.1465;0.2575;1.6505;2.7065;3.901;4.7591249999999965;1.8036148674053631
05:00;0.11;0.14400000000000002;0.239;1.5430000000000001;2.582;3.9535;4.947049999999999;1.7815126709250069
06:00;0.135;0.176;0.317;1.7125;2.7255000000000003;4.1114999999999995;5.0997;1.8403581834982077
07:00;0.1375;0.197;0.3655;1.943;3.050625;4.541300000000003;5.765000000000001;2.143047486472581
08:00;0.123;0.165;0.298;1.189;2.7346250000000003;4.448;5.588974999999998;1.8409233216564402
09:00;0.114;0.1385;0.241125;0.5355000000000001;2.566;4.402650000000001;5.5504500000000005;1.6068672141377536
10:00;0.1125;0.1585;0.2485;0.491;2.4175;4.1255;5.261;1.4857224741883521
11:00;0.1205;0.16;0.26;0.594;2.239;3.813850000000002;5.024799999999999;1.5122507021925924
12:00;0.1085;0.1405;0.23062500000000002;0.4465;2.1415;3.5903000000000027;4.9185;1.3769062673053594
13:00;0.1075;0.1465;0.241;0.46399999999999997;2.1622500000000002;3.521;4.992400000000002;1.3445908439860972
14:00;0.11495000000000005;0.1465;0.2395;0.5065;2.3165;3.7794999999999996;4.967375;1.4431558582425912
15:00;0.1275;0.174;0.2825;1.157;2.9290000000000003;4.4245;5.73845;1.835047156249576
16:00;0.181;0.2355;0.46499999999999997;1.9177499999999998;3.293;5.24;6.3257249999999985;2.287090717808513
17:00;0.2185;0.346;0.6985;2.2865;3.5404999999999998;5.616;6.635049999999996;2.5680201289418574
18:00;0.20700000000000002;0.30400000000000005;0.604;2.208;3.4735;5.281700000000001;6.855;2.5473894493135907
19:00;0.20650000000000002;0.2925;0.495375;1.8199999999999998;3.001125;4.738350000000002;6.252349999999998;2.1183318399988957
20:00;0.191;0.264;0.3975;1.5025;2.9095;4.6034000000000015;5.592900000000002;1.9731061130827086
21:00;0.162;0.223;0.355;1.4060000000000001;2.5825;4.116350000000002;5.2675;1.7746317180827424
22:00;0.1295;0.16349999999999998;0.2685;0.9855;2.503;3.8625;5.001224999999998;1.634425760998519
23:00;0.1195;0.1485;0.247;1.28025;2.495;3.8920000000000003;4.682299999999995;1.6209565696868085
