hour,Q5,Q10,Q25,Q50,Q75,Q90,Q95
00:00,5.043273306160391,5.074586398663765,5.122639172549145,5.231353384376911,5.299035114945377,5.385265845266206,5.462779364360312
01:00,5.001018907400322,5.015426678181447,5.111513167196186,5.149887927063285,5.289108495545712,5.330133229165166,5.357710177357443
02:00,5.045312814098903,5.0554764659993685,5.122141385182711,5.244093949037877,5.309464582792237,5.36187423033333,5.374873257616032
03:00,5.020512188447625,5.030821758619965,5.065706432989971,5.1187323644996585,5.19280874235494,5.3442172186039905,5.363213257519256
04:00,5.019002124480064,5.029367691997237,5.083928265859946,5.148027516324291,5.207060305358658,5.222218062976913,5.300777985684672
05:00,5.020363762129057,5.031858256592979,5.0691606027953355,5.258983788617552,5.599937049310754,5.6323314381108744,5.7074097692878025
06:00,5.426680185180874,5.482135268669453,5.597078126669841,6.085930872264008,6.10890489362456,6.3618530137295695,6.424873191760711
07:00,5.729785393787091,5.761489232637873,6.1283908109678675,6.658698285685165,6.841460559838714,7.006667092255738,7.049829588649694
08:00,5.882907713409927,5.89802938589197,6.086356698793197,6.3811483358904155,6.737743436945524,6.784807500159533,6.8493918580674364
09:00,6.082794442954775,6.1537044711802045,6.399457048716432,6.59725030176012,6.786675643834928,6.947896096762675,6.984023211581577
10:00,6.386549826015548,6.5449028560802605,6.653908145288913,6.748933139945567,7.138126805764974,7.205962034918326,7.229258784143902
11:00,6.298914146576178,6.339275894451934,6.4437978047123154,6.66642488024063,6.965058902927371,7.0652316257998615,7.104162134771775
12:00,6.409086426288006,6.440176224459964,6.583540309643422,6.77228537694275,6.933784657283627,7.1804914721369935,7.267989402646389
13:00,6.454894928919112,6.534103732262067,6.56063836764275,6.5963092771563705,6.830895372586761,6.9680949348584456,7.015651161185383
14:00,6.162389223927202,6.214383163912258,6.594038921094656,6.67004468737033,6.806770335665922,6.993755793460524,7.292049465301681
15:00,6.342614759415997,6.403440710909824,6.531825118528711,6.657541934158356,6.785896097620933,6.9234172066999955,6.970697952610141
16:00,6.182840507590712,6.300697655294799,6.666760697787749,6.706469091717756,6.884659230362498,7.063865373885682,7.0972774184482255
17:00,5.642298099979335,5.785476015979427,6.2175645120034675,6.318689670499256,6.628658463153107,6.72770333457573,6.846152471881869
18:00,5.700045448073825,5.735889238524459,5.8481148999425425,6.404645620706807,6.477958147474592,6.547441445585703,6.672525436404395
19:00,5.467074396922573,5.493903162986126,5.868487814358511,6.149441973774184,6.475354927149597,6.5448894988290345,6.574541571678299
20:00,5.437504838820686,5.45107882034314,5.606693130565152,5.948760174547379,6.048554384809746,6.254543062135353,6.4691426119159825
21:00,5.481358916423236,5.496160278322461,5.530546726263381,5.664518218075623,5.846372878610561,6.047747376223278,6.13549490957661
22:00,5.319350732294486,5.34387245352961,5.369363343499826,5.5274663922939,5.636646283528091,5.73923495027228,5.781183400520648
23:00,5.131570752128959,5.390343978507885,5.425301766726278,5.527573662611896,5.607674492509958,5.721566908470976,5.746168959071824
