hour;Q5;Q10;Q25;Q50;Q75;Q90;Q95;mean
00:00;0.055;0.086;0.1385;0.2085;0.393;1.0495499999999993;2.669524999999998;0.5228080017445138
01:00;0.0625;0.083;0.132;0.20350000000000001;0.3735;0.9472000000000043;2.2073499999999986;0.4500704394154469
02:00;0.057999999999999996;0.0795;0.1345;0.2025;0.3695;0.916;2.2478999999999996;0.4695660959804274
03:00;0.058300000000000074;0.08;0.1335;0.2055;0.3885;1.0370500000000011;2.450974999999999;0.4950466663804729
04:00;0.0595;0.0835;0.1325;0.207;0.46;1.0577999999999992;2.6622999999999886;0.5015678416785603
05:00;0.057999999999999996;0.08549999999999999;0.135;0.2175;0.48362499999999997;1.07525;2.46;0.5460344788181799
06:00;0.0605;0.094;0.15;0.2525;0.6154999999999999;2.069;3.5512250000000005;0.803509339225541
07:00;0.063;0.1055;0.1655;0.2855;0.782;2.802550000000001;4.249499999999999;0.9381567639893311
08:00;0.07450000000000001;0.111;0.173;0.3275;0.885;3.0040000000000164;4.32255;0.9717856946419992
09:00;0.076;0.1115;0.182;0.3315;1.0525;3.1452999999999993;4.390449999999999;0.9834313532784688
10:00;0.068;0.1115;0.1795;0.318;0.9925;2.7943500000000023;4.277224999999998;1.0060655238564873
11:00;0.0665;0.1105;0.163;0.28300000000000003;0.918;2.997050000000001;4.0665749999999985;0.9879571558510115
12:00;0.067;0.1065;0.159;0.2815;0.8055000000000001;2.301;3.5564999999999998;0.8196857973536402
13:00;0.0655;0.1;0.1525;0.2905;0.798;2.1445;3.416049999999996;0.8093710253819354
14:00;0.07400000000000001;0.112;0.1725;0.298;0.7605;2.4362500000000002;3.6434249999999846;0.8289614266495309
15:00;0.0665;0.106;0.1705;0.32;0.8285;2.370800000000001;3.4256749999999974;0.8439752366011284
16:00;0.07550000000000001;0.118;0.1905;0.38;1.0665;2.8455000000000004;3.733024999999998;0.9877861309602679
17:00;0.092;0.1195;0.1975;0.376;1.0065;2.851;4.3525;0.9720907708475846
18:00;0.088;0.12;0.1945;0.3595;0.9305;2.849250000000002;3.9445249999999996;0.9590351955628431
19:00;0.099;0.1255;0.20900000000000002;0.377;0.9059999999999999;2.8665000000000003;3.7725;0.9475736464086657
20:00;0.082;0.125;0.197;0.344;0.7595000000000001;2.6130500000000065;3.589375;0.7977434120990912
21:00;0.0655;0.1045;0.1665;0.29100000000000004;0.5395000000000001;1.6874500000000006;3.202149999999998;0.6689263579013734
22:00;0.067;0.0945;0.15;0.244;0.4755;1.1252000000000009;2.6165000000000003;0.5368307131215055
23:00;0.066;0.087;0.14100000000000001;0.222;0.425;1.0274999999999999;2.7055;0.5454765073384727
